molecule_chembl_id,standard_value,canonical_smiles
CHEMBL255590,72000.0,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2
CHEMBL502371,711.23,CC1CCCC/C1=N/Nc1nc(-c2ccccc2)cs1
CHEMBL92401,7540.0,CC(C)NNC(=O)c1ccncc1
CHEMBL8706,61350.0,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
CHEMBL498683,26.23,CC1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL498507,32.33,CC1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL457535,2370.0,COc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1
CHEMBL498506,142.64,Cc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1
CHEMBL498505,14.2,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL496281,26810.0,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2Cl)cs1
CHEMBL496280,203.83,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL496279,13120.0,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2)cs1
CHEMBL497674,47.24,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL508324,32.48,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL456150,63.02,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL453703,9.8,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL498694,16.58,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL497676,30.08,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL497675,36.06,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL524447,22.01,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL472080,500.0,O=C(NC1CCCCC1)c1cc2ccccc2oc1=O
CHEMBL472081,25360.0,CC(C)NC(=O)c1cc2ccccc2oc1=O
CHEMBL512883,3270.0,CC(C)CNC(=O)c1cc2ccccc2oc1=O
CHEMBL472638,7680.0,NCCNC(=O)c1cc2ccccc2oc1=O
CHEMBL494795,760.0,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O
CHEMBL469350,910.0,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O
CHEMBL445184,600.0,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1
CHEMBL469362,640.0,COc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1
CHEMBL508698,250.0,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O
CHEMBL509345,250.0,O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O
